# x_m,y_m,w_tr_right_m,w_tr_left_m
36.9022,-15.3943,0.9740,0.9740
36.8213,-15.3134,0.9841,0.9841
36.8213,-15.2326,1.0006,1.0006
36.8213,-15.1517,1.0232,1.0232
36.8213,-15.0708,1.0516,1.0516
36.8213,-14.9899,1.0516,1.0516
36.8213,-14.9090,1.0232,1.0232
36.8213,-14.8281,1.0006,1.0006
36.8213,-14.7472,0.9841,0.9841
36.8213,-14.6663,0.9740,0.9740
36.7404,-14.5854,0.9707,0.9707
36.7404,-14.5045,0.9707,0.9707
36.7404,-14.4237,0.9707,0.9707
36.7404,-14.3428,0.9707,0.9707
36.7404,-14.2619,0.9707,0.9707
36.7404,-14.1810,0.9707,0.9707
36.7404,-14.1001,0.9707,0.9707
36.8213,-14.0192,0.9740,0.9740
36.8213,-13.9383,0.9841,0.9841
36.8213,-13.8574,1.0006,1.0006
36.8213,-13.7765,1.0232,1.0232
36.8213,-13.6956,1.0516,1.0516
36.8213,-13.6148,1.0516,1.0516
36.8213,-13.5339,1.0232,1.0232
36.8213,-13.4530,1.0006,1.0006
36.8213,-13.3721,0.9841,0.9841
36.9022,-13.2912,0.9707,0.9707
36.9022,-13.2103,0.9740,0.9740
36.9022,-13.1294,0.9841,0.9841
36.9022,-13.0485,1.0006,1.0006
36.9022,-12.9676,1.0232,1.0232
36.9022,-12.8867,1.0006,1.0006
36.9022,-12.8059,0.9841,0.9841
36.9022,-12.7250,0.9740,0.9740
36.9831,-12.6441,1.0006,1.0006
36.9831,-12.5632,1.0232,1.0232
36.9831,-12.4823,1.0006,1.0006
37.0640,-12.4014,0.9841,0.9841
37.0640,-12.3205,1.0006,1.0006
37.0640,-12.2396,1.0232,1.0232
37.0640,-12.1587,1.0006,1.0006
37.1449,-12.0778,0.9841,0.9841
37.1449,-11.9970,1.0006,1.0006
37.1449,-11.9161,1.0006,1.0006
37.1449,-11.8352,0.9841,0.9841
37.2257,-11.7543,1.0006,1.0006
37.2257,-11.6734,1.0232,1.0232
37.2257,-11.5925,1.0006,1.0006
37.3066,-11.5116,1.0006,1.0006
37.3066,-11.4307,1.0232,1.0232
37.3066,-11.3498,1.0006,1.0006
37.3875,-11.2689,1.0006,1.0006
37.3875,-11.1881,1.0135,1.0135
37.3875,-11.1072,0.9774,0.9774
37.4684,-11.0263,1.0135,1.0135
37.4684,-10.9454,1.0006,1.0006
37.5493,-10.8645,1.0006,1.0006
37.5493,-10.7836,1.0135,1.0135
37.6302,-10.7027,0.9774,0.9774
37.6302,-10.6218,1.0135,1.0135
37.6302,-10.5409,0.9774,0.9774
37.7111,-10.4600,1.0135,1.0135
37.7111,-10.3792,0.9774,0.9774
37.7920,-10.2983,1.0135,1.0135
37.7920,-10.2174,0.9774,0.9774
37.8729,-10.1365,1.0135,1.0135
37.8729,-10.0556,0.9774,0.9774
37.9538,-9.9747,1.0135,1.0135
37.9538,-9.8938,0.9774,0.9774
38.0346,-9.8129,1.0135,1.0135
38.1155,-9.7320,1.0135,1.0135
38.1155,-9.6511,1.0135,1.0135
38.1964,-9.5703,1.0135,1.0135
38.1964,-9.4894,0.9874,0.9874
38.2773,-9.4085,1.0135,1.0135
38.3582,-9.3276,0.9874,0.9874
38.3582,-9.2467,0.9874,0.9874
38.4391,-9.1658,1.0135,1.0135
38.5200,-9.0849,1.0135,1.0135
38.5200,-9.0040,0.9874,0.9874
38.6009,-8.9231,1.0135,1.0135
38.6818,-8.8422,1.0296,1.0296
38.7627,-8.7614,1.0296,1.0296
38.8435,-8.6805,1.0135,1.0135
38.8435,-8.5996,0.9874,0.9874
